Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Matheran,Raigad,December,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Medium
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,High,High
Raigad Fort,Raigad,January,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Medium
Elephanta Caves,Mumbai,March,Summer,No,Hot,Low,Families,Yes,Medium,Low,Medium
Panchgani,Satara,July,Monsoon,No,Rainy,Low,Students,No,Low,Low,Low
Gateway of India,Mumbai,February,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,Low
Gateway of India,Mumbai,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Low
Pratapgad Fort,Satara,December,Winter,Yes,Pleasant,High,Families,No,Medium,Low,Medium
Elephanta Caves,Mumbai,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,High,Medium
Aga Khan Palace,Pune,April,Summer,No,Warm,Low,Families,Yes,Medium,Low,Low
Gateway of India,Mumbai,January,Winter,Yes,Cool,High,Students,Yes,Medium,Low,Low
Shani Shingnapur,Ahmednagar,February,Winter,Yes,Cool,High,Students,No,Medium,High,Medium
Shani Shingnapur,Ahmednagar,June,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,High
Aga Khan Palace,Pune,October,Post-Monsoon,Yes,Pleasant,High,Couples,Yes,Medium,Low,High
Aga Khan Palace,Pune,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
Pratapgad Fort,Satara,March,Summer,No,Warm,Low,Families,No,Medium,Low,High
Kaas Plateau,Satara,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,High
Bhimashankar Temple,Pune,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,High,Low
Aga Khan Palace,Pune,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,Low
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,High
Shirdi,Ahmednagar,February,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,High,Medium
Mahabaleshwar,Satara,January,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Medium
Raigad Fort,Raigad,April,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,Low
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,High,Medium
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
