Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Daulatabad Fort,Aurangabad,September,Monsoon,No,Rainy,Medium,Families,No,High,Medium,Medium
Gateway of India,Mumbai,October,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,Low,High
Sindhudurg Fort,Sindhudurg,May,Summer,No,Hot,Medium,Students,Yes,Low,Low,High
Ellora Caves,Aurangabad,February,Winter,No,Cool,Medium,Foreign Tourists,Yes,Medium,Low,High
Gateway of India,Mumbai,August,Monsoon,No,Rainy,Low,Students,Yes,Medium,Low,Low
Shani Shingnapur,Ahmednagar,July,Monsoon,Yes,Rainy,Low,Senior Citizens,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,May,Summer,No,Hot,Medium,Foreign Tourists,Yes,High,High,High
Shirdi,Ahmednagar,June,Monsoon,Yes,Rainy,Low,Senior Citizens,No,High,Low,Low
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Students,Yes,Medium,Medium,High
Sindhudurg Fort,Sindhudurg,August,Monsoon,Yes,Rainy,High,Senior Citizens,Yes,Low,Medium,High
Trimbakeshwar Temple,Nashik,December,Winter,No,Cool,High,Senior Citizens,Yes,High,High,High
Shani Shingnapur,Ahmednagar,September,Monsoon,No,Rainy,Medium,Families,No,Medium,High,High
Ellora Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Families,Yes,High,Low,Low
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,No,Pleasant,Medium,Families,No,High,Medium,High
Shani Shingnapur,Ahmednagar,March,Summer,Yes,Hot,High,Students,Yes,Medium,High,High
Ajanta Caves,Aurangabad,March,Summer,No,Hot,Medium,Families,Yes,Low,High,High
Shani Shingnapur,Ahmednagar,January,Winter,No,Cool,High,Senior Citizens,No,Medium,Medium,High
Sindhudurg Fort,Sindhudurg,January,Winter,No,Cool,High,Families,Yes,High,High,High
Sindhudurg Fort,Sindhudurg,April,Summer,Yes,Hot,High,Families,Yes,Low,Low,High
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,High,Medium
Trimbakeshwar Temple,Nashik,January,Winter,Yes,Cool,High,Senior Citizens,Yes,Low,High,High
Raigad Fort,Raigad,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,Yes,Medium,Low,High
Daulatabad Fort,Aurangabad,December,Winter,Yes,Cool,High,Students,No,Low,High,High
Gateway of India,Mumbai,May,Summer,No,Hot,Medium,Senior Citizens,No,Low,High,High
Ellora Caves,Aurangabad,August,Monsoon,Yes,Rainy,Low,Families,No,Medium,Low,Low
Ajanta Caves,Aurangabad,September,Monsoon,No,Rainy,Medium,Students,No,Medium,Medium,High
Daulatabad Fort,Aurangabad,December,Winter,No,Cool,Medium,Senior Citizens,No,Medium,High,High
Mahabaleshwar,Satara,October,Post-Monsoon,Yes,Pleasant,High,Senior Citizens,No,Low,High,High
Sindhudurg Fort,Sindhudurg,April,Summer,No,Hot,High,Senior Citizens,Yes,Medium,Low,High
Raigad Fort,Raigad,May,Summer,No,Hot,Medium,Senior Citizens,No,Low,Medium,High
Daulatabad Fort,Aurangabad,January,Winter,Yes,Cool,High,Foreign Tourists,Yes,Low,High,High
Ellora Caves,Aurangabad,March,Summer,No,Hot,High,Students,Yes,High,Medium,High
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,Yes,High,High,High
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Rainy,High,Families,Yes,Low,High,High
Sindhudurg Fort,Sindhudurg,September,Monsoon,Yes,Rainy,High,Senior Citizens,No,Low,High,High
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Pleasant,High,Families,Yes,Low,High,High
Gateway of India,Mumbai,August,Monsoon,Yes,Rainy,Low,Families,Yes,High,Low,Low
Shirdi,Ahmednagar,October,Post-Monsoon,No,Pleasant,Medium,Families,Yes,Low,Low,Medium
Shirdi,Ahmednagar,February,Winter,No,Cool,Medium,Foreign Tourists,Yes,High,Medium,High
Gateway of India,Mumbai,October,Post-Monsoon,Yes,Pleasant,High,Senior Citizens,No,High,Medium,High
Trimbakeshwar Temple,Nashik,February,Winter,No,Cool,Medium,Families,No,Medium,High,High
Trimbakeshwar Temple,Nashik,May,Summer,No,Hot,Medium,Students,Yes,Low,Medium,High
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Pleasant,High,Students,No,Low,Medium,High
Mahabaleshwar,Satara,October,Post-Monsoon,Yes,Pleasant,High,Senior Citizens,Yes,Low,Medium,High
Shani Shingnapur,Ahmednagar,May,Summer,No,Hot,High,Students,Yes,Medium,High,High
Trimbakeshwar Temple,Nashik,January,Winter,Yes,Cool,High,Foreign Tourists,Yes,Low,High,High
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,Yes,Pleasant,High,Families,No,Low,Low,High
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Rainy,Low,Senior Citizens,Yes,Low,Medium,Low
Ajanta Caves,Aurangabad,March,Summer,No,Hot,High,Students,Yes,Low,Low,High
Raigad Fort,Raigad,May,Summer,No,Hot,Medium,Families,No,High,Medium,High
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,Yes,Pleasant,High,Senior Citizens,Yes,Medium,Low,High
Shani Shingnapur,Ahmednagar,April,Summer,Yes,Hot,High,Senior Citizens,No,Medium,Medium,High
Sindhudurg Fort,Sindhudurg,May,Summer,No,Hot,High,Foreign Tourists,Yes,High,Low,High
Mahabaleshwar,Satara,December,Winter,No,Cool,Medium,Students,No,Medium,Medium,High
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Pleasant,High,Senior Citizens,Yes,Medium,High,High
Raigad Fort,Raigad,June,Monsoon,Yes,Rainy,High,Senior Citizens,Yes,High,Low,High
Mahabaleshwar,Satara,September,Monsoon,No,Rainy,Low,Senior Citizens,No,Low,High,Low
Ellora Caves,Aurangabad,February,Winter,No,Cool,High,Senior Citizens,No,High,Medium,High
Shani Shingnapur,Ahmednagar,August,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,Low,High,Low
Gateway of India,Mumbai,October,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Low,High,High
Raigad Fort,Raigad,February,Winter,Yes,Cool,High,Families,Yes,High,High,High
Shirdi,Ahmednagar,April,Summer,Yes,Hot,High,Families,No,High,Low,High
Daulatabad Fort,Aurangabad,June,Monsoon,Yes,Rainy,Low,Foreign Tourists,Yes,Low,Low,Low
Raigad Fort,Raigad,May,Summer,No,Hot,High,Foreign Tourists,Yes,Low,Medium,High
Raigad Fort,Raigad,April,Summer,Yes,Hot,High,Students,Yes,High,Medium,High
Mahabaleshwar,Satara,June,Monsoon,Yes,Rainy,High,Foreign Tourists,Yes,Low,Medium,High
Gateway of India,Mumbai,April,Summer,No,Hot,High,Students,No,High,High,High
Trimbakeshwar Temple,Nashik,August,Monsoon,No,Rainy,Medium,Senior Citizens,Yes,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,No,Pleasant,High,Students,Yes,Low,Medium,High
Gateway of India,Mumbai,May,Summer,Yes,Hot,High,Families,Yes,Low,Medium,High
Shani Shingnapur,Ahmednagar,August,Monsoon,No,Rainy,Low,Students,Yes,High,Medium,Low
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,High,Medium
Ajanta Caves,Aurangabad,March,Summer,Yes,Hot,High,Foreign Tourists,Yes,Low,High,High
